ES0072;"BANCO PASTOR, S.A.";PSTRESMMXXX
ES0073;"OPEN BANK";OPENESMMXXX
ES0075;"BANCO POPULAR ESPAÑOL, S.A.";POPUESMMXXX
ES0078;"BANCA PUEYO, S.A.";BAPUES22XXX
ES0081;"BANCO DE SABADELL, S.A.";BSABESBBXXX
ES0083;"BANCO ALICANTINO DE COMERCIO, S.A.";RENBESMMXXX
ES0086;"BANCO BANIF DE GESTIÓN PRIVADA, S.A.";NORTESMMXXX
ES0093;"BANCO DE VALENCIA, S.A.";VALEESVVXXX
ES0094;"RBC DEXIA INVESTOR SERVICES ESPAÑA, S.A.";BVALESMMXXX
ES0099;"BANCO DE CRÉDITO Y AHORRO, S.A.";AHCRESVVXXX
ES0106;"LLOYDS BANK (BLSA) LIMITED";LOYDESMMXXX
ES0107;"BANCA NAZIONALE DEL LAVORO, S.P.A.";BNLIESM1XXX
ES0108;"SOCIETE GENERALE BANQUE EN SPAGNE";SOGEESMMXXX
ES0113;"BANCO INDUSTRIAL DE BILBAO, S.A.";INBBESM1XXX
ES0121;"BANCO OCCIDENTAL, S.A.";OCBAESM1XXX
ES0122;"CITIBANK ESPAÑA, S.A.";CITIES2XXXX
ES0125;"BANCOFAR, S.A.";BAOFESM1XXX
ES0128;"BANKINTER, S.A.";BKBKESMMXXX
ES0129;"BANCO INDUSTRIAL DE CATALUÑA, S.A.";INALESM1XXX
ES0130;"BANCO LUSO ESPAÑOL, S.A.";CGDIESMMXXX
ES0131;"BANCO ESPIRITO SANTO, S.A.";BESMESMMXXX
ES0132;"BANCO DE PROMOCIÓN DE NEGOCIOS, S.A.";PRNEESM1XXX
ES0133;"BANCO DE EUROPA, S.A.";MIKBESB1XXX
ES0136;"BANCO ÁRABE ESPAÑOL, S.A.";AREBESMMXXX
ES0138;"BANKOA, S.A.";BKOAES22XXX
ES0144;"BANQUE PARIBAS";PARBESMXXXX
ES0145;"DEUTSCHE BANK, A.G.";DEUTESM1XXX
ES0149;"BANQUE NATIONALE DE PARIS";BNPAESMSXXX
ES0151;"CHEMICAL BANK";CHASESM3XXX
ES0152;"BARCLAYS BANK, P.L.C.";BPLCESMMXXX
ES0154;"BANQUE INDOSUEZ";BSUIESMMXXX
ES0155;"BANCO DO BRASIL";BRASESMMXXX
ES0156;"ABN AMRO BANK N.V.";ABNAESMMXXX
ES0159;"COMMERZBANK, A.G.";COBAESMXXXX
ES0160;"THE BANK OF TOKIO, LLMITED";BOTKESMXXXX
ES0161;"THE BANKERS TRUST COMPANV";BKTRESM1XXX
ES0162;"MIDLAND BANK, P.L.C.";MIDLESMMXXX
ES0167;"GENERALE BANK, BANCO BELGA";GEBAESMMXXX
